Ref,Val,Package,PosX,PosY,Rot,Side
"C17","4.7uF","C_0402_1005Metric",130.100000,-100.850000,180.000000,bottom
"C18","100nF","C_0201_0603Metric",130.200000,-101.600000,180.000000,bottom
"C19","100nF","C_0201_0603Metric",130.200000,-99.250000,180.000000,bottom
"C20","100nF","C_0201_0603Metric",127.800000,-98.450000,180.000000,bottom
"C21","100nF","C_0201_0603Metric",125.900000,-99.250000,0.000000,bottom
"C22","100nF","C_0201_0603Metric",125.050000,-100.050000,0.000000,bottom
"C23","4.7uF","C_0402_1005Metric",128.050000,-104.480000,90.000000,bottom
"C24","100nF","C_0201_0603Metric",129.350000,-102.450000,180.000000,bottom
"C25","100nF","C_0201_0603Metric",131.720000,-103.250000,0.000000,bottom
"C26","100nF","C_0201_0603Metric",130.900000,-106.400000,0.000000,bottom
"C27","100nF","C_0201_0603Metric",129.750000,-106.000000,90.000000,bottom
"C28","100nF","C_0201_0603Metric",129.370000,-103.250000,180.000000,bottom
"C29","100nF","C_0201_0603Metric",130.550000,-102.900000,90.000000,bottom
"C30","100nF","C_0201_0603Metric",129.350000,-104.050000,180.000000,bottom
"C31","4.7uF","C_0402_1005Metric",127.000000,-104.500000,90.000000,bottom
"C32","100nF","C_0201_0603Metric",132.900000,-106.850000,90.000000,bottom
"C33","100nF","C_0201_0603Metric",131.600000,-107.200000,0.000000,bottom
"C34","100nF","C_0201_0603Metric",129.400000,-104.850000,0.000000,bottom
"C35","100nF","C_0201_0603Metric",130.950000,-104.800000,0.000000,bottom
"C36","100nF","C_0201_0603Metric",130.900000,-105.600000,180.000000,bottom
"C37","100nF","C_0201_0603Metric",132.000000,-106.100000,90.000000,bottom
"C38","100nF","C_0201_0603Metric",132.500000,-108.050000,0.000000,bottom
"C39","4.7uF","C_0402_1005Metric",132.400000,-102.000000,180.000000,bottom
"C40","100nF","C_0201_0603Metric",124.150000,-106.080000,90.000000,bottom
"C41","100nF","C_0201_0603Metric",122.120000,-103.950000,0.000000,bottom
"C42","100nF","C_0201_0603Metric",123.750000,-103.250000,0.000000,bottom
"C43","100nF","C_0201_0603Metric",129.350000,-98.450000,0.000000,bottom
"C44","100nF","C_0201_0603Metric",124.900000,-97.250000,90.000000,bottom
"C45","100nF","C_0201_0603Metric",132.250000,-99.000000,0.000000,bottom
"C46","100nF","C_0201_0603Metric",125.750000,-97.300000,90.000000,bottom
"C47","100nF","C_0201_0603Metric",120.750000,-99.250000,180.000000,bottom
"C48","100nF","C_0201_0603Metric",124.150000,-96.100000,90.000000,bottom
"C49","100nF","C_0201_0603Metric",131.150000,-94.850000,90.000000,bottom
"C50","4.7uF","C_0402_1005Metric",122.450000,-102.650000,90.000000,bottom
"C51","100nF","C_0201_0603Metric",121.600000,-102.900000,90.000000,bottom
"C61","100nF","C_0402_1005Metric",115.900000,-104.850000,90.000000,bottom
"C62","18pF","C_0402_1005Metric",117.450000,-102.700000,-90.000000,bottom
"C63","18pF","C_0402_1005Metric",117.450000,-100.200000,90.000000,bottom
"C64","22pF","C_0402_1005Metric",132.350000,-99.850000,0.000000,bottom
"C65","100nF","C_0402_1005Metric",133.850000,-106.150000,90.000000,bottom
"C66","100nF","C_0402_1005Metric",134.800000,-106.150000,-90.000000,bottom
"C67","4.7uF","C_0402_1005Metric",136.300000,-107.550000,180.000000,bottom
"C68","4.7uF","C_0402_1005Metric",72.300000,-98.900000,0.000000,bottom
"C69","100nF","C_0402_1005Metric",71.800000,-97.500000,90.000000,bottom
"C70","100nF","C_0402_1005Metric",72.800000,-97.500000,-90.000000,bottom
"C71","22pF","C_0402_1005Metric",74.950000,-101.500000,90.000000,bottom
"C72","100nF","C_0402_1005Metric",92.050000,-98.000000,-90.000000,bottom
"C73","18pF","C_0402_1005Metric",89.350000,-100.850000,90.000000,bottom
"C75","18pF","C_0402_1005Metric",89.350000,-102.700000,-90.000000,bottom
"C77","4.7uF","C_0402_1005Metric",75.850000,-106.600000,180.000000,bottom
"C78","100nF","C_0201_0603Metric",81.400000,-105.400000,180.000000,bottom
"C79","100nF","C_0201_0603Metric",83.250000,-106.250000,-90.000000,bottom
"C80","4.7uF","C_0402_1005Metric",82.800000,-102.600000,180.000000,bottom
"C81","4.7uF","C_0402_1005Metric",73.600000,-95.000000,90.000000,bottom
"C82","4.7uF","C_0402_1005Metric",75.000000,-93.750000,180.000000,bottom
"C83","100nF","C_0201_0603Metric",86.250000,-103.400000,0.000000,bottom
"C84","100nF","C_0201_0603Metric",82.950000,-103.400000,0.000000,bottom
"C85","100nF","C_0201_0603Metric",76.600000,-97.800000,180.000000,bottom
"C86","100nF","C_0201_0603Metric",74.950000,-95.500000,0.000000,bottom
"C87","100nF","C_0201_0603Metric",75.350000,-103.400000,180.000000,bottom
"C88","100nF","C_0201_0603Metric",79.450000,-103.800000,90.000000,bottom
"C89","100nF","C_0201_0603Metric",79.450000,-96.550000,90.000000,bottom
"C90","100nF","C_0201_0603Metric",77.850000,-97.350000,-90.000000,bottom
"C91","100nF","C_0201_0603Metric",75.950000,-107.550000,180.000000,bottom
"C92","100nF","C_0201_0603Metric",83.000000,-101.750000,180.000000,bottom
"C93","100nF","C_0201_0603Metric",78.250000,-98.600000,0.000000,bottom
"C94","100nF","C_0201_0603Metric",75.850000,-97.000000,180.000000,bottom
"C95","100nF","C_0201_0603Metric",86.700000,-98.600000,0.000000,bottom
"C96","100nF","C_0201_0603Metric",77.450000,-101.800000,0.000000,bottom
"C97","100nF","C_0201_0603Metric",75.050000,-96.200000,180.000000,bottom
"C98","100nF","C_0201_0603Metric",79.450000,-98.200000,-90.000000,bottom
"C99","100nF","C_0201_0603Metric",78.650000,-103.800000,90.000000,bottom
"C100","100nF","C_0201_0603Metric",77.500000,-103.400000,0.000000,bottom
"C101","100nF","C_0201_0603Metric",76.650000,-96.200000,180.000000,bottom
"C102","100nF","C_0201_0603Metric",75.150000,-94.650000,180.000000,bottom
"C103","100nF","C_0201_0603Metric",83.800000,-100.250000,180.000000,bottom
"C104","4.7uF","C_0402_1005Metric",85.050000,-98.900000,90.000000,bottom
"C105","100nF","C_0201_0603Metric",78.250000,-99.400000,0.000000,bottom
"C106","100nF","C_0201_0603Metric",77.050000,-99.700000,-90.000000,bottom
"C107","100nF","C_0201_0603Metric",82.750000,-104.550000,90.000000,bottom
"C108","100nF","C_0201_0603Metric",84.100000,-99.050000,90.000000,bottom
"C109","100nF","C_0201_0603Metric",78.050000,-96.200000,0.000000,bottom
"C110","100nF","C_0201_0603Metric",76.600000,-95.400000,0.000000,bottom
"C111","100nF","C_0201_0603Metric",83.450000,-95.800000,90.000000,bottom
"C112","0.47uF","C_0402_1005Metric",116.450000,-116.100000,180.000000,bottom
"C113","0.47uF","C_0402_1005Metric",103.900000,-103.000000,180.000000,bottom
"C119","4.7uF","C_0805_2012Metric",112.250000,-89.100000,-90.000000,bottom
"C120","4.7uF","C_0805_2012Metric",122.800000,-89.450000,90.000000,bottom
"C121","2.2uF","C_0603_1608Metric",90.862999,-108.279150,-90.000000,bottom
"C122","1uF","C_0603_1608Metric",88.500000,-111.500000,0.000000,bottom
"C123","100nF","C_0402_1005Metric",88.212999,-106.304150,0.000000,bottom
"C124","0.47uF","C_0402_1005Metric",103.850000,-100.050000,180.000000,bottom
"C125","4.7uF","C_0805_2012Metric",107.100000,-103.750000,0.000000,bottom
"C126","100uF","C_1210_3225Metric",112.200000,-100.100000,90.000000,bottom
"C127","0.47uF","C_0402_1005Metric",103.850000,-102.050000,180.000000,bottom
