"Id";"Designator";"Footprint";"Quantity";"Designation";"Supplier and ref";
1;"IC1";"QFN50P500X500X80-29N-D";1;"CP2102N-A02-GQFN28";;;
2;"R24,R22,R25,R23,R63,R30,R26,R62";"R_0402_1005Metric";8;"10k";;;
3;"R49,R8,R45,R9,RD9,RD10,RD5,R34,R41,RD11";"R_0402_1005Metric";10;"10K";;;
4;"C13,C54";"C_01005_0402Metric";2;"100nF";;;
5;"C53,C60,C117,C56,C115,C76,C57,C69,C72,C61,C123,C66,C65,C70";"C_0402_1005Metric";14;"100nF";;;
6;"TP9";"TestPoint_Pad_D1.0mm";1;"VLDO1B";;;
7;"J1";"USB4110GFA";1;"USB4110-GF-A";;;
8;"R29";"R_0402_1005Metric";1;"300R";;;
9;"R14,R13,R17,R3,R4,R6,R15,R5";"R_0402_1005Metric";8;"182k";;;
10;"R11,R44,R43,R7,R10,R50,R46,R12";"R_0402_1005Metric";8;"68K";;;
11;"R53,R66,R54,RD12,R56,R55,R37,R39,R38,R36";"R_0402_1005Metric";10;"4.7K";;;
12;"D5";"LED_0402_1005Metric";1;"BLUE";;;
13;"R27";"R_0402_1005Metric";1;"180R";;;
14;"C151";"C_0805_2012Metric";1;"10u";;;
15;"C7,C5,C10,C9,C6,C15";"C_0805_2012Metric";6;"22uF";;;
16;"TP1";"TestPoint_Pad_D1.0mm";1;"VDD_3V3";;;
17;"U5,U3";"VQFN24_RMB_MCH";2;"MCP16501A-E/RMB";;;
18;"L2,L6,L4,L1,L3,L5";"L_1008_2520Metric";6;"1.5uH";;;
19;"IC7";"BGA256C100P16X16_1700X1700X155";1;"XC6SLX25-2FT256C";;;
20;"C4,C12,C16,C55,C114,C8,C3,C14,C2,C116,C11,C1";"C_0603_1608Metric";12;"4.7uF";;;
21;"R1,R19";"R_0402_1005Metric";2;"270K";;;
22;"SW4,SW7";"SW_SPST_B3U-1000P";2;"B1";;;
23;"R2,R20";"R_0402_1005Metric";2;"100K";;;
24;"D2";"LED_0402_1005Metric";1;"GRE";;;
25;"R61,R60,R18,R51,R16,R52,R59,R32,R48,RD14";"R_0402_1005Metric";10;"0R";;;
26;"TP14";"TestPoint_Pad_D1.0mm";1;"AUSB_D+";;;
27;"C52,C74";"C_0603_1608Metric";2;"10uF";;;
28;"SW1,SW5";"SW_SPST_B3U-1000P";2;"NRST";;;
29;"J7";"PinHeader_1x06_P2.54mm_Vertical";1;"Conn_01x06";;;
30;"R21";"R_0402_1005Metric";1;"100k";;;
31;"Q1,Q2";"SOT-23";2;"AO3400A";;;
32;"SW2,SW6";"SW_SPST_B3U-1000P";2;"START";;;
33;"D6,D10,D1,D11";"LED_0402_1005Metric";4;"RED";;;
34;"RD7,RD4,RD8";"R_0402_1005Metric";3;"1K";;;
35;"TP4";"TestPoint_Pad_D1.0mm";1;"VDD_3V3_B";;;
36;"U4,U2";"233TFBGA_MCH";2;"SAM9X60D1G-I/4FB";;;
37;"FB3";"L_1206_3216Metric";1;"BLM21PG121SN1D";;;
38;"J5";"522071485";1;"52207-1485";;;
39;"R67,R68";"R_0402_1005Metric";2;"100R";;;
40;"Y1";"Crystal_SMD_3225-4Pin_3.2x2.5mm";1;"16MHz";;;
41;"TP7";"TestPoint_Pad_D1.0mm";1;"VDD_CORE_A";;;
42;"J2,J3";"1140084168";2;"1140084168";;;
43;"D8,D7,D4";"AQ304501ETG";3;"AQ3045";;;
44;"TP5";"TestPoint_Pad_D1.0mm";1;"VDD_3V3_A";;;
45;"RD3";"R_0402_1005Metric";1;"22K";;;
46;"TP10";"TestPoint_Pad_D1.0mm";1;"VDDIOM_B";;;
47;"U6";"TQFP-44_10x10mm_P0.8mm";1;"ATmega16A-A";;;
48;"SW3";"SW_SPST_B3U-1000P";1;"RST";;;
49;"C58,C59";"C_0402_1005Metric";2;"27pF";;;
50;"IC3,IC4";"SOT95P240X115-3N";2;"SS8050-HF";;;
51;"R28";"R_0402_1005Metric";1;"250R";;;
52;"J6";"XF2M50151A";1;"XF2M-5015-1A";;;
53;"D3";"LED_0402_1005Metric";1;"BLU";;;
54;"TP11";"TestPoint_Pad_D1.0mm";1;"VDDIOM_A";;;
55;"J4";"PinHeader_1x06_P2.54mm_Vertical";1;"ISP";;;
56;"RD6,RD1";"R_0402_1005Metric";2;"5.1K";;;
57;"TP6";"TestPoint_Pad_D1.0mm";1;"VLDO1A";;;
58;"FB1";"L_0805_2012Metric";1;"330Ohm";;;
59;"C152";"C_0402_1005Metric";1;"100n";;;
60;"TP8";"TestPoint_Pad_D1.0mm";1;"VDD_CORE_B";;;
61;"TP15";"TestPoint_Pad_D1.0mm";1;"AUSB_D-";;;
